heart_rate,emotion,symptoms,disease,risk,specialist
66,sad,sadness loss of interest fatigue sleep changes,Depression,Medium,Psychiatrist
90,sad,chest tightness wheezing,Asthma,High,Pulmonologist
83,sad,ear pain fever hearing loss,Otitis Media,Low,ENT Specialist
100,sad,facial drooping arm weakness speech,Stroke,Critical,Neurologist
121,neutral,palpitations chest pain,Arrhythmia,High,Cardiologist
74,neutral,heartburn acid reflux pain,GERD,Low,Gastroenterologist
79,neutral,patches silvery scales itching,Psoriasis,Low,Dermatologist
80,neutral,pain fever cough,Pericarditis,Low,Cardiologist
74,sad,cough mucus production wheezing discomfort,Bronchitis,Low,Pulmonologist
63,neutral,frequent excessive thirst weight loss,Diabetes Type 1,Low,Endocrinologist
78,sad,back pain numbness legs,Slip Disc,Low,Orthopedic
73,neutral,joint fever rash,Lyme Disease,Low,Infectious Disease Specialist
70,sad,numbness tingling weakness,Carpal Tunnel Syndrome,Low,Orthopedic
100,sad,chest pain palpitations,Heart Failure,High,Cardiologist
68,sad,heartburn acid reflux chest pain,GERD,Low,Gastroenterologist
81,neutral,abdominal pain diarrhea blood in stool,Ulcerative Colitis,Low,Gastroenterologist
129,sad,chest pain dizziness,Heart Failure,High,Cardiologist
61,sad,skin rash itching,Allergy,Low,Dermatologist
62,neutral,frequent urination excessive thirst weight,Diabetes Type 1,Low,Endocrinologist
57,sad,fatigue gain depression cold intolerance,Hypothyroidism,Low,Endocrinologist
117,neutral,palpitations dizziness chest pain,Arrhythmia,High,Cardiologist
77,neutral,pain fever cough,Pericarditis,Low,Cardiologist
81,sad,pain fever rash,Lyme Disease,Low,Infectious Disease Specialist
61,sad,chronic cough shortness of breath wheezing,COPD,Low,Pulmonologist
58,sad,fatigue weight depression cold intolerance,Hypothyroidism,Low,Endocrinologist
85,neutral,back pain numbness legs,Slip Disc,Low,Orthopedic
131,fear,chest pain radiating to arm shortness breath,Angina,High,Cardiologist
71,neutral,seizures confusion temporary loss of awareness,Epilepsy,Low,Neurologist
113,neutral,fever cough chest pain shortness of breath,Pneumonia,High,Pulmonologist
85,neutral,back loss of height bone fractures,Osteoporosis,Low,Orthopedic
60,sad,blurred vision frequent urination fatigue,Diabetes Type 2,Low,Endocrinologist
68,sad,fever abdominal pain diarrhea,Typhoid,Low,Infectious Disease Specialist
106,fear,weight loss anxiety rapid heat intolerance,Hyperthyroidism,Medium,Endocrinologist
81,sad,ear pain fever hearing loss,Otitis Media,Low,ENT Specialist
64,sad,fever cough fatigue,Flu,Low,General Physician
82,angry,severe headache nausea sensitivity to light,Migraine,Medium,Neurologist
62,sad,weight loss thirst frequent urination,Diabetes,Low,Endocrinologist
61,neutral,fever abdominal pain diarrhea,Typhoid,Low,Infectious Disease Specialist
69,neutral,cough fever night sweats loss,Tuberculosis,Low,Pulmonologist
73,neutral,skin rash itching allergy,Allergy,Low,Dermatologist
82,disgust,severe headache nausea sensitivity to light,Migraine,Medium,Neurologist
80,sad,abdominal pain diarrhea weight loss,Crohn's Disease,Low,Gastroenterologist
72,neutral,abdominal pain bloating diarrhea constipation,Irritable Bowel Syndrome,Low,Gastroenterologist
60,sad,pain stiffness swelling,Osteoarthritis,Low,Orthopedic
80,sad,fever headache body pain,Dengue,Low,General Physician
132,sad,chest pain radiating to arm shortness of,Angina,High,Cardiologist
152,fear,palpitations dizziness chest pain,Arrhythmia,High,Cardiologist
89,sad,cough mucus production wheezing discomfort,Bronchitis,Low,Pulmonologist
63,sad,joint pain stiffness swelling,Arthritis,Low,Orthopedic
90,sad,fever cough fatigue,Flu,Low,General Physician
67,sad,chest pain fever cough,Pericarditis,Low,Cardiologist
59,sad,fatigue weight gain depression cold intolerance,Hypothyroidism,Low,Endocrinologist
83,neutral,joint pain stiffness swelling,Arthritis,Low,Orthopedic
90,neutral,weight loss anxiety rapid heartbeat heat intolerance,Hyperthyroidism,Medium,Endocrinologist
62,sad,severe headache nausea sensitivity to light,Migraine,Medium,Neurologist
120,fear,chest pain palpitations dizziness,Heart Failure,High,Cardiologist
78,neutral,headache stiff neck fever,Meningitis,Low,Neurologist
68,sad,itching redness dry skin,Eczema,Low,Dermatologist
124,fear,excessive worry restlessness fatigue irritability,Anxiety Disorder,Medium,Psychiatrist
110,fear,palpitations chest pain,Arrhythmia,High,Cardiologist
72,neutral,frequent urination excessive thirst weight loss,Diabetes Type 1,Low,Endocrinologist
77,sad,pain fever hearing loss,Otitis Media,Low,ENT Specialist
58,neutral,fatigue gain depression cold intolerance,Hypothyroidism,Low,Endocrinologist
68,neutral,pain fever rash,Lyme Disease,Low,Infectious Disease Specialist
79,neutral,cough fever sweats weight loss,Tuberculosis,Low,Pulmonologist
90,neutral,pimples whiteheads oily skin,Acne,Low,Dermatologist
110,fear,loss anxiety rapid heartbeat heat intolerance,Hyperthyroidism,Medium,Endocrinologist
60,neutral,weight loss thirst frequent urination,Diabetes,Low,Endocrinologist
76,sad,joint pain swelling morning stiffness fatigue,Rheumatoid Arthritis,Low,Rheumatologist
116,sad,abdominal pain fever loss of appetite,Appendicitis,Critical,Surgeon
101,fear,cough chest wheezing,Asthma,High,Pulmonologist
66,neutral,abdominal pain diarrhea in stool,Ulcerative Colitis,Low,Gastroenterologist
65,sad,joint pain fever rash,Lyme Disease,Low,Infectious Disease Specialist
143,sad,chest pain shortness of breath sweating,Heart Attack,Critical,Cardiologist
60,neutral,fever headache body pain,Dengue,Low,General Physician
77,sad,skin rash itching allergy,Allergy,Low,Dermatologist
71,sad,stomach pain nausea vomiting,Gastritis,Low,Gastroenterologist
89,sad,pain stiffness swelling,Osteoarthritis,Low,Orthopedic
132,surprise,chest pain shortness breath sweating,Heart Attack,Critical,Cardiologist
70,neutral,seizures confusion temporary loss of awareness,Epilepsy,Low,Neurologist
78,neutral,abdominal pain bloating diarrhea constipation,Irritable Bowel Syndrome,Low,Gastroenterologist
76,sad,loss thirst frequent urination,Diabetes,Low,Endocrinologist
61,sad,joint pain stiffness swelling,Osteoarthritis,Low,Orthopedic
88,sad,weight loss thirst frequent,Diabetes,Low,Endocrinologist
63,neutral,fatigue gain depression cold intolerance,Hypothyroidism,Low,Endocrinologist
79,sad,headache stiff neck fever,Meningitis,Low,Neurologist
91,sad,abdominal pain nausea fever loss of appetite,Appendicitis,Critical,Surgeon
88,neutral,pimples blackheads whiteheads oily skin,Acne,Low,Dermatologist
104,neutral,headache blurred vision dizziness,Hypertension,Medium,Neurologist
80,neutral,back numbness legs,Slip Disc,Low,Orthopedic
82,sad,stomach pain vomiting nausea,Food Poisoning,Low,Gastroenterologist
52,neutral,fatigue weight gain cold intolerance,Hypothyroidism,Low,Endocrinologist
64,neutral,skin rash allergy,Allergy,Low,Dermatologist
75,sad,sadness loss of interest sleep changes,Depression,Medium,Psychiatrist
75,neutral,fever sweating headache,Malaria,Low,Infectious Disease Specialist
85,sad,cough mucus production wheezing chest discomfort,Bronchitis,Low,Pulmonologist
106,neutral,fever cough pain shortness of breath,Pneumonia,High,Pulmonologist
105,fear,excessive worry restlessness fatigue irritability,Anxiety Disorder,Medium,Psychiatrist
72,sad,joint pain fever rash,Lyme Disease,Low,Infectious Disease Specialist
84,neutral,abdominal pain diarrhea constipation,Irritable Bowel Syndrome,Low,Gastroenterologist
79,sad,fever sweating headache,Malaria,Low,Infectious Disease Specialist
60,neutral,acid reflux chest pain,GERD,Low,Gastroenterologist
80,sad,fever headache body pain,Dengue,Low,General Physician
70,sad,jaundice abdominal pain dark urine,Hepatitis,Low,Gastroenterologist
62,sad,fever chills sweating headache,Malaria,Low,Infectious Disease Specialist
77,sad,joint pain swelling,Osteoarthritis,Low,Orthopedic
70,neutral,loss thirst frequent urination,Diabetes,Low,Endocrinologist
127,sad,chest pain shortness of breath sweating,Heart Attack,Critical,Cardiologist
83,sad,facial drooping arm weakness speech difficulty,Stroke,Critical,Neurologist
85,neutral,ear pain fever hearing loss,Otitis Media,Low,ENT Specialist
66,sad,numbness weakness vision problems fatigue,Multiple Sclerosis,Low,Neurologist
118,fear,worry restlessness fatigue irritability,Anxiety Disorder,Medium,Psychiatrist
68,neutral,red patches silvery itching,Psoriasis,Low,Dermatologist
90,sad,heartburn acid reflux chest pain,GERD,Low,Gastroenterologist
96,fear,cough chest tightness,Asthma,High,Pulmonologist
72,sad,skin itching allergy,Allergy,Low,Dermatologist
87,neutral,headache stiff neck fever,Meningitis,Low,Neurologist
147,fear,chest pain shortness of breath sweating,Heart Attack,Critical,Cardiologist
74,sad,joint pain stiffness swelling,Osteoarthritis,Low,Orthopedic
84,sad,chronic cough shortness of breath wheezing,COPD,Low,Pulmonologist
61,sad,cough mucus wheezing chest discomfort,Bronchitis,Low,Pulmonologist
89,angry,severe headache nausea sensitivity to light,Migraine,Medium,Neurologist
117,fear,chest pain palpitations,Heart Failure,High,Cardiologist
81,fear,fever cough loss of taste shortness of,COVID-19,High,General Physician
88,neutral,stomach pain nausea vomiting bloating,Gastritis,Low,Gastroenterologist
68,neutral,back pain legs,Slip Disc,Low,Orthopedic
63,neutral,sadness loss of interest fatigue sleep changes,Depression,Medium,Psychiatrist
76,sad,pimples blackheads oily skin,Acne,Low,Dermatologist
74,neutral,joint pain fever rash,Lyme Disease,Low,Infectious Disease Specialist
66,neutral,fever headache body pain,Dengue,Low,General Physician
72,sad,back pain loss of height bone fractures,Osteoporosis,Low,Orthopedic
65,neutral,frequent urination excessive thirst weight loss,Diabetes Type 1,Low,Endocrinologist
65,sad,joint pain stiffness,Osteoarthritis,Low,Orthopedic
62,neutral,cough mucus production wheezing chest discomfort,Bronchitis,Low,Pulmonologist
65,sad,fever chills sweating,Malaria,Low,Infectious Disease Specialist
105,sad,excessive worry restlessness fatigue irritability,Anxiety Disorder,Medium,Psychiatrist
85,sad,fever cough,Flu,Low,General Physician
110,neutral,fever cough chest pain shortness of breath,Pneumonia,High,Pulmonologist
98,angry,headache blurred vision dizziness,Hypertension,Medium,Neurologist
71,sad,headache nausea sensitivity to light,Migraine,Medium,Neurologist
107,fear,chest pain radiating to arm shortness breath,Angina,High,Cardiologist
145,fear,chest pain shortness of sweating,Heart Attack,Critical,Cardiologist
66,sad,headache stiff neck fever,Meningitis,Low,Neurologist
76,neutral,chest pain fever,Pericarditis,Low,Cardiologist
71,sad,abdominal pain diarrhea weight loss,Crohn's Disease,Low,Gastroenterologist
126,fear,excessive worry restlessness fatigue irritability,Anxiety Disorder,Medium,Psychiatrist
67,neutral,jaundice fatigue abdominal pain dark urine,Hepatitis,Low,Gastroenterologist
67,sad,abdominal diarrhea weight loss,Crohn's Disease,Low,Gastroenterologist
79,sad,joint pain swelling morning stiffness fatigue,Rheumatoid Arthritis,Low,Rheumatologist
76,sad,numbness weakness problems fatigue,Multiple Sclerosis,Low,Neurologist
67,neutral,joint pain stiffness swelling,Arthritis,Low,Orthopedic
82,neutral,weight loss thirst frequent urination,Diabetes,Low,Endocrinologist
89,neutral,stomach pain nausea,Food Poisoning,Low,Gastroenterologist
63,neutral,skin itching allergy,Allergy,Low,Dermatologist
80,neutral,itching redness dry skin rash,Eczema,Low,Dermatologist
75,sad,itching redness dry rash,Eczema,Low,Dermatologist
144,sad,chest shortness of breath sweating,Heart Attack,Critical,Cardiologist
64,sad,confusion temporary loss of awareness,Epilepsy,Low,Neurologist
124,fear,palpitations dizziness chest pain,Arrhythmia,High,Cardiologist
102,sad,excessive restlessness fatigue irritability,Anxiety Disorder,Medium,Psychiatrist
82,sad,pain nausea vomiting bloating,Gastritis,Low,Gastroenterologist
96,neutral,fever cough chest pain shortness of breath,Pneumonia,High,Pulmonologist
97,sad,fever cough chest pain shortness of breath,Pneumonia,High,Pulmonologist
84,neutral,chronic cough shortness of breath wheezing,COPD,Low,Pulmonologist
73,disgust,severe headache nausea sensitivity to light,Migraine,Medium,Neurologist
67,sad,joint pain stiffness swelling,Arthritis,Low,Orthopedic
74,neutral,frequent urination excessive thirst weight,Diabetes Type 1,Low,Endocrinologist
72,neutral,cough fever sweats weight loss,Tuberculosis,Low,Pulmonologist
74,neutral,abdominal pain bloating diarrhea,Irritable Bowel Syndrome,Low,Gastroenterologist
74,neutral,confusion temporary loss of awareness,Epilepsy,Low,Neurologist
82,sad,chest pain fever cough,Pericarditis,Low,Cardiologist
66,sad,facial drooping arm weakness speech,Stroke,Critical,Neurologist
75,sad,frequent excessive thirst weight loss,Diabetes Type 1,Low,Endocrinologist
154,fear,palpitations dizziness chest pain,Arrhythmia,High,Cardiologist
108,sad,chest palpitations dizziness,Heart Failure,High,Cardiologist
64,neutral,fatigue gain depression cold intolerance,Hypothyroidism,Low,Endocrinologist
90,sad,fever chills sweating headache,Malaria,Low,Infectious Disease Specialist
88,sad,abdominal pain bloating diarrhea constipation,Irritable Bowel Syndrome,Low,Gastroenterologist
80,neutral,fever fatigue,Flu,Low,General Physician
97,angry,headache blurred vision dizziness,Hypertension,Medium,Neurologist
71,sad,joint pain fever rash,Lyme Disease,Low,Infectious Disease Specialist
82,sad,jaundice fatigue abdominal pain urine,Hepatitis,Low,Gastroenterologist
91,sad,abdominal pain nausea loss of appetite,Appendicitis,Critical,Surgeon
138,fear,chest pain shortness of breath sweating,Heart Attack,Critical,Cardiologist
72,sad,itching redness dry skin rash,Eczema,Low,Dermatologist
55,neutral,fatigue weight gain depression cold intolerance,Hypothyroidism,Low,Endocrinologist
132,fear,dizziness chest pain,Arrhythmia,High,Cardiologist
62,neutral,joint pain swelling morning stiffness,Rheumatoid Arthritis,Low,Rheumatologist
74,sad,facial drooping arm weakness speech difficulty,Stroke,Critical,Neurologist
88,neutral,pimples blackheads whiteheads oily skin,Acne,Low,Dermatologist
86,neutral,pimples blackheads whiteheads oily skin,Acne,Low,Dermatologist
89,neutral,pain fever rash,Lyme Disease,Low,Infectious Disease Specialist
85,sad,stomach pain nausea vomiting bloating,Gastritis,Low,Gastroenterologist
76,neutral,cough mucus production wheezing chest discomfort,Bronchitis,Low,Pulmonologist
62,sad,fatigue weight depression cold intolerance,Hypothyroidism,Low,Endocrinologist
74,sad,sadness loss of interest fatigue sleep changes,Depression,Medium,Psychiatrist
80,sad,chronic cough shortness of breath wheezing,COPD,Low,Pulmonologist
84,neutral,numbness weakness vision fatigue,Multiple Sclerosis,Low,Neurologist
83,neutral,red patches silvery itching,Psoriasis,Low,Dermatologist
96,sad,fever cough loss of shortness of breath,COVID-19,High,General Physician
110,neutral,weight loss anxiety rapid heartbeat heat intolerance,Hyperthyroidism,Medium,Endocrinologist
86,neutral,headache stiff fever,Meningitis,Low,Neurologist
83,sad,joint pain rash,Lyme Disease,Low,Infectious Disease Specialist
71,sad,red eyes itching discharge,Conjunctivitis,Low,Ophthalmologist
72,sad,hand numbness tingling weakness,Carpal Tunnel Syndrome,Low,Orthopedic
80,sad,pimples blackheads whiteheads skin,Acne,Low,Dermatologist
101,sad,fever cough loss of taste shortness of,COVID-19,High,General Physician
70,sad,fatigue weight gain depression cold,Hypothyroidism,Low,Endocrinologist
81,neutral,abdominal bloating diarrhea constipation,Irritable Bowel Syndrome,Low,Gastroenterologist
106,sad,chest pain radiating to arm shortness of breath,Angina,High,Cardiologist
79,neutral,joint pain fever rash,Lyme Disease,Low,Infectious Disease Specialist
80,sad,chest pain cough,Pericarditis,Low,Cardiologist
90,neutral,seizures confusion loss of awareness,Epilepsy,Low,Neurologist
79,sad,hand numbness tingling weakness,Carpal Tunnel Syndrome,Low,Orthopedic
85,neutral,weight loss thirst frequent urination,Diabetes,Low,Endocrinologist
74,neutral,back pain numbness legs,Slip Disc,Low,Orthopedic
72,neutral,fever body pain,Dengue,Low,General Physician
87,neutral,pimples blackheads whiteheads oily skin,Acne,Low,Dermatologist
63,sad,headache neck fever,Meningitis,Low,Neurologist
86,neutral,itching redness dry skin rash,Eczema,Low,Dermatologist
95,sad,cough chest tightness wheezing,Asthma,High,Pulmonologist
113,fear,chest pain radiating to shortness of breath,Angina,High,Cardiologist
120,sad,cough chest wheezing,Asthma,High,Pulmonologist
69,neutral,weight loss thirst urination,Diabetes,Low,Endocrinologist
89,neutral,pain nausea vomiting bloating,Gastritis,Low,Gastroenterologist
61,neutral,fever cough fatigue,Flu,Low,General Physician
140,surprise,chest pain shortness of breath sweating,Heart Attack,Critical,Cardiologist
61,sad,hand numbness tingling weakness,Carpal Tunnel Syndrome,Low,Orthopedic
69,neutral,jaundice fatigue abdominal dark urine,Hepatitis,Low,Gastroenterologist
71,sad,pain stiffness swelling,Osteoarthritis,Low,Orthopedic
88,sad,weight loss thirst frequent,Diabetes,Low,Endocrinologist
90,fear,fever cough loss of taste shortness of breath,COVID-19,High,General Physician
71,neutral,joint pain stiffness swelling,Arthritis,Low,Orthopedic
61,neutral,hand numbness tingling weakness,Carpal Tunnel Syndrome,Low,Orthopedic
70,neutral,joint pain stiffness swelling,Osteoarthritis,Low,Orthopedic
107,neutral,headache blurred vision dizziness,Hypertension,Medium,Neurologist
73,sad,weight loss thirst frequent urination,Diabetes,Low,Endocrinologist
67,sad,sore throat fever swollen lymph nodes,Strep Throat,Low,ENT Specialist
61,neutral,fever chills sweating,Malaria,Low,Infectious Disease Specialist
67,sad,jaundice fatigue pain dark urine,Hepatitis,Low,Gastroenterologist
84,sad,stomach pain nausea vomiting bloating,Gastritis,Low,Gastroenterologist
61,neutral,back pain numbness,Slip Disc,Low,Orthopedic
90,sad,frequent urination excessive thirst loss,Diabetes Type 1,Low,Endocrinologist
73,neutral,cough mucus wheezing chest discomfort,Bronchitis,Low,Pulmonologist
75,neutral,abdominal pain diarrhea constipation,Irritable Bowel Syndrome,Low,Gastroenterologist
70,sad,seizures confusion temporary loss awareness,Epilepsy,Low,Neurologist
83,sad,facial drooping arm weakness speech difficulty,Stroke,Critical,Neurologist
61,sad,sadness loss of fatigue sleep changes,Depression,Medium,Psychiatrist
92,fear,weight loss rapid heartbeat heat intolerance,Hyperthyroidism,Medium,Endocrinologist
132,fear,chest pain radiating arm shortness of breath,Angina,High,Cardiologist
92,sad,drooping arm weakness speech difficulty,Stroke,Critical,Neurologist
69,sad,blurred vision frequent urination fatigue,Diabetes Type 2,Low,Endocrinologist
122,sad,excessive worry restlessness fatigue irritability,Anxiety Disorder,Medium,Psychiatrist
133,sad,chest pain radiating to arm shortness of breath,Angina,High,Cardiologist
86,neutral,pimples whiteheads oily skin,Acne,Low,Dermatologist
58,sad,sadness loss interest fatigue sleep changes,Depression,Medium,Psychiatrist
83,sad,chronic cough shortness of breath wheezing,COPD,Low,Pulmonologist
66,sad,joint pain stiffness swelling,Arthritis,Low,Orthopedic
70,neutral,sadness loss of fatigue sleep changes,Depression,Medium,Psychiatrist
75,neutral,blurred vision frequent urination fatigue,Diabetes Type 2,Low,Endocrinologist
151,fear,palpitations dizziness chest,Arrhythmia,High,Cardiologist
74,sad,stomach pain nausea vomiting,Gastritis,Low,Gastroenterologist
92,angry,headache blurred vision dizziness,Hypertension,Medium,Neurologist
80,sad,sore throat fever swollen lymph nodes,Strep Throat,Low,ENT Specialist
89,angry,severe headache nausea sensitivity to light,Migraine,Medium,Neurologist
76,neutral,pain nausea vomiting bloating,Gastritis,Low,Gastroenterologist
69,disgust,headache nausea sensitivity to light,Migraine,Medium,Neurologist
85,sad,jaundice fatigue abdominal pain dark urine,Hepatitis,Low,Gastroenterologist
105,sad,abdominal pain fever loss of appetite,Appendicitis,Critical,Surgeon
71,sad,numbness weakness vision problems,Multiple Sclerosis,Low,Neurologist
67,neutral,back pain of height bone fractures,Osteoporosis,Low,Orthopedic
90,sad,abdominal pain bloating diarrhea constipation,Irritable Bowel Syndrome,Low,Gastroenterologist
98,sad,cough chest tightness wheezing,Asthma,High,Pulmonologist
88,neutral,chronic cough shortness of breath wheezing,COPD,Low,Pulmonologist
87,neutral,cough mucus production wheezing chest discomfort,Bronchitis,Low,Pulmonologist
75,neutral,stomach pain nausea vomiting bloating,Gastritis,Low,Gastroenterologist
67,sad,stiff neck fever,Meningitis,Low,Neurologist
70,neutral,stomach pain nausea vomiting bloating,Gastritis,Low,Gastroenterologist
60,angry,severe headache sensitivity to light,Migraine,Medium,Neurologist
89,neutral,fever headache abdominal diarrhea,Typhoid,Low,Infectious Disease Specialist
83,neutral,jaundice fatigue abdominal pain dark urine,Hepatitis,Low,Gastroenterologist
109,sad,cough chest wheezing,Asthma,High,Pulmonologist
90,sad,red patches silvery scales itching,Psoriasis,Low,Dermatologist
70,neutral,joint pain fever rash,Lyme Disease,Low,Infectious Disease Specialist
79,sad,seizures confusion temporary loss of awareness,Epilepsy,Low,Neurologist
121,sad,excessive worry restlessness fatigue irritability,Anxiety Disorder,Medium,Psychiatrist
63,sad,pain stiffness swelling,Arthritis,Low,Orthopedic
85,neutral,rash itching allergy,Allergy,Low,Dermatologist
85,sad,numbness weakness vision problems fatigue,Multiple Sclerosis,Low,Neurologist
119,fear,excessive worry restlessness fatigue irritability,Anxiety Disorder,Medium,Psychiatrist
60,neutral,joint pain fever rash,Lyme Disease,Low,Infectious Disease Specialist
68,neutral,ear pain fever hearing,Otitis Media,Low,ENT Specialist
79,sad,stomach pain vomiting,Food Poisoning,Low,Gastroenterologist
73,sad,cough mucus production wheezing discomfort,Bronchitis,Low,Pulmonologist
69,neutral,hand numbness tingling,Carpal Tunnel Syndrome,Low,Orthopedic
96,fear,cough chest tightness wheezing,Asthma,High,Pulmonologist
65,neutral,chest pain fever cough,Pericarditis,Low,Cardiologist
88,neutral,abdominal pain diarrhea blood in stool,Ulcerative Colitis,Low,Gastroenterologist
115,neutral,palpitations dizziness chest pain,Arrhythmia,High,Cardiologist
150,fear,chest pain of breath sweating,Heart Attack,Critical,Cardiologist
72,neutral,abdominal pain diarrhea weight loss,Crohn's Disease,Low,Gastroenterologist
63,neutral,cough mucus production wheezing chest discomfort,Bronchitis,Low,Pulmonologist
85,neutral,pain stiffness swelling,Arthritis,Low,Orthopedic
77,sad,joint pain stiffness swelling,Osteoarthritis,Low,Orthopedic
73,sad,pimples whiteheads oily skin,Acne,Low,Dermatologist
118,neutral,fever cough chest pain shortness of breath,Pneumonia,High,Pulmonologist
90,neutral,joint pain swelling,Osteoarthritis,Low,Orthopedic
68,sad,chest pain fever,Pericarditis,Low,Cardiologist
100,angry,headache blurred vision dizziness,Hypertension,Medium,Neurologist
71,sad,weight loss thirst frequent urination,Diabetes,Low,Endocrinologist
82,sad,joint pain swelling morning stiffness fatigue,Rheumatoid Arthritis,Low,Rheumatologist
88,neutral,pain numbness legs,Slip Disc,Low,Orthopedic
72,sad,cough fever night sweats weight loss,Tuberculosis,Low,Pulmonologist
64,neutral,chest pain fever cough,Pericarditis,Low,Cardiologist
88,sad,itching redness dry skin rash,Eczema,Low,Dermatologist
70,neutral,frequent urination excessive thirst weight loss,Diabetes Type 1,Low,Endocrinologist
77,sad,heartburn reflux chest pain,GERD,Low,Gastroenterologist
84,fear,facial drooping arm weakness speech difficulty,Stroke,Critical,Neurologist
90,neutral,cough chest pain shortness of breath,Pneumonia,High,Pulmonologist
65,neutral,abdominal pain blood in stool,Ulcerative Colitis,Low,Gastroenterologist
123,sad,chest pain shortness of breath sweating,Heart Attack,Critical,Cardiologist
70,sad,back pain loss of height bone fractures,Osteoporosis,Low,Orthopedic
84,neutral,frequent urination excessive thirst weight,Diabetes Type 1,Low,Endocrinologist
89,sad,cough fever night sweats weight loss,Tuberculosis,Low,Pulmonologist
111,fear,worry restlessness fatigue irritability,Anxiety Disorder,Medium,Psychiatrist
63,neutral,joint pain stiffness swelling,Arthritis,Low,Orthopedic
81,sad,heartburn acid reflux chest pain,GERD,Low,Gastroenterologist
76,neutral,fever headache body pain,Dengue,Low,General Physician
88,neutral,abdominal pain diarrhea blood in stool,Ulcerative Colitis,Low,Gastroenterologist
76,sad,jaundice fatigue abdominal pain dark urine,Hepatitis,Low,Gastroenterologist
103,fear,weight loss anxiety rapid heartbeat heat intolerance,Hyperthyroidism,Medium,Endocrinologist
130,sad,chest pain palpitations,Heart Failure,High,Cardiologist
61,neutral,back pain loss of bone fractures,Osteoporosis,Low,Orthopedic
64,neutral,fatigue weight gain depression cold intolerance,Hypothyroidism,Low,Endocrinologist
77,sad,back pain loss of height bone,Osteoporosis,Low,Orthopedic
68,sad,heartburn acid reflux chest pain,GERD,Low,Gastroenterologist
120,fear,excessive worry restlessness fatigue irritability,Anxiety Disorder,Medium,Psychiatrist
84,sad,jaundice fatigue abdominal pain dark urine,Hepatitis,Low,Gastroenterologist
78,sad,numbness weakness vision problems fatigue,Multiple Sclerosis,Low,Neurologist
114,neutral,fever cough chest pain shortness of breath,Pneumonia,High,Pulmonologist
129,fear,chest pain shortness of breath sweating,Heart Attack,Critical,Cardiologist
90,neutral,red patches silvery scales,Psoriasis,Low,Dermatologist
60,sad,ear pain fever hearing loss,Otitis Media,Low,ENT Specialist
127,sad,excessive worry restlessness fatigue,Anxiety Disorder,Medium,Psychiatrist
84,neutral,headache stiff neck fever,Meningitis,Low,Neurologist
82,sad,jaundice fatigue abdominal pain dark urine,Hepatitis,Low,Gastroenterologist
86,neutral,back pain numbness legs,Slip Disc,Low,Orthopedic
81,neutral,abdominal pain weight loss,Crohn's Disease,Low,Gastroenterologist
62,neutral,fever fatigue,Flu,Low,General Physician
71,neutral,cough production wheezing chest discomfort,Bronchitis,Low,Pulmonologist
112,sad,excessive worry restlessness fatigue,Anxiety Disorder,Medium,Psychiatrist
73,sad,stomach pain nausea,Food Poisoning,Low,Gastroenterologist
60,sad,stomach pain nausea,Food Poisoning,Low,Gastroenterologist
67,neutral,red patches silvery itching,Psoriasis,Low,Dermatologist
60,neutral,back pain loss of height bone fractures,Osteoporosis,Low,Orthopedic
144,fear,chest pain shortness of breath,Heart Attack,Critical,Cardiologist
85,neutral,jaundice fatigue abdominal pain dark urine,Hepatitis,Low,Gastroenterologist
84,sad,joint pain swelling,Arthritis,Low,Orthopedic
90,sad,severe nausea sensitivity to light,Migraine,Medium,Neurologist
150,surprise,chest pain shortness of breath,Heart Attack,Critical,Cardiologist
114,sad,cough chest wheezing,Asthma,High,Pulmonologist
81,sad,fever chills sweating headache,Malaria,Low,Infectious Disease Specialist
83,sad,fever cough loss of taste of breath,COVID-19,High,General Physician
84,neutral,abdominal pain diarrhea weight loss,Crohn's Disease,Low,Gastroenterologist
87,neutral,abdominal pain diarrhea blood in,Ulcerative Colitis,Low,Gastroenterologist
83,sad,blackheads whiteheads oily skin,Acne,Low,Dermatologist
62,neutral,fever chills sweating,Malaria,Low,Infectious Disease Specialist
78,sad,fever chills sweating headache,Malaria,Low,Infectious Disease Specialist
82,sad,joint pain stiffness swelling,Osteoarthritis,Low,Orthopedic
89,neutral,abdominal diarrhea blood in stool,Ulcerative Colitis,Low,Gastroenterologist
68,neutral,fever chills sweating,Malaria,Low,Infectious Disease Specialist
76,neutral,jaundice fatigue abdominal pain dark urine,Hepatitis,Low,Gastroenterologist
87,neutral,fever cough fatigue,Flu,Low,General Physician
64,sad,abdominal pain bloating diarrhea constipation,Irritable Bowel Syndrome,Low,Gastroenterologist
66,neutral,fever headache abdominal pain diarrhea,Typhoid,Low,Infectious Disease Specialist
127,fear,palpitations dizziness chest pain,Arrhythmia,High,Cardiologist
119,sad,chest pain palpitations dizziness,Heart Failure,High,Cardiologist
78,neutral,red patches silvery scales itching,Psoriasis,Low,Dermatologist
81,sad,chest pain fever cough,Pericarditis,Low,Cardiologist
73,sad,frequent urination excessive thirst weight loss,Diabetes Type 1,Low,Endocrinologist
81,neutral,abdominal pain diarrhea weight,Crohn's Disease,Low,Gastroenterologist
79,sad,hand numbness weakness,Carpal Tunnel Syndrome,Low,Orthopedic
73,angry,severe headache nausea to light,Migraine,Medium,Neurologist
66,sad,abdominal pain diarrhea in stool,Ulcerative Colitis,Low,Gastroenterologist
